Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
222.33,-1.18,-0.53%,26 Jul 2023
223.51,0.76,0.34%,25 Jul 2023
222.75,-0.22,-0.10%,24 Jul 2023
222.97,1.31,0.59%,21 Jul 2023
221.66,-2.74,-1.22%,20 Jul 2023
224.4,0.01,0.00%,19 Jul 2023
224.39,1.70,0.76%,18 Jul 2023
222.69,1.21,0.55%,17 Jul 2023
221.48,1.42,0.65%,14 Jul 2023
220.06,1.13,0.52%,13 Jul 2023
218.93,0.22,0.10%,12 Jul 2023
218.71,-0.06,-0.03%,11 Jul 2023
218.77,1.56,0.72%,10 Jul 2023
217.21,-2.23,-1.02%,07 Jul 2023
219.44,-1.36,-0.62%,06 Jul 2023
220.8,-0.10,-0.05%,05 Jul 2023
220.9,-1.51,-0.68%,03 Jul 2023
222.41,2.00,0.91%,30 Jun 2023
220.41,1.64,0.75%,29 Jun 2023
218.77,0.30,0.14%,28 Jun 2023
218.47,2.36,1.09%,27 Jun 2023
216.11,-1.56,-0.72%,26 Jun 2023
217.67,2.40,1.11%,22 Jun 2023
215.27,-1.74,-0.80%,21 Jun 2023
217.01,0.10,0.05%,20 Jun 2023
216.91,-1.49,-0.68%,16 Jun 2023
218.4,1.95,0.90%,15 Jun 2023
216.45,0.50,0.23%,14 Jun 2023
215.95,1.09,0.51%,13 Jun 2023
214.86,3.10,1.46%,12 Jun 2023
211.76,0.26,0.12%,09 Jun 2023
211.5,0.95,0.45%,08 Jun 2023
210.55,-3.93,-1.83%,07 Jun 2023
214.48,-0.80,-0.37%,06 Jun 2023
215.28,-0.56,-0.26%,05 Jun 2023
215.84,2.18,1.02%,02 Jun 2023
213.66,2.03,0.96%,01 Jun 2023
211.63,-0.92,-0.43%,31 May 2023
212.55,-0.05,-0.02%,30 May 2023
212.6,3.18,1.52%,26 May 2023
209.42,4.35,2.12%,25 May 2023
205.07,-0.71,-0.35%,24 May 2023
205.78,-3.93,-1.87%,23 May 2023
209.71,0.38,0.18%,22 May 2023
209.33,3.14,1.52%,19 May 2023
206.19,1.67,0.82%,17 May 2023
204.52,-0.40,-0.20%,16 May 2023
204.92,0.37,0.18%,15 May 2023
204.55,0.48,0.24%,12 May 2023
204.07,1.42,0.70%,11 May 2023
202.65,0.94,0.47%,10 May 2023
201.71,-0.11,-0.05%,08 May 2023
201.82,2.52,1.26%,05 May 2023
199.3,-1.46,-0.73%,04 May 2023
200.76,-0.89,-0.44%,03 May 2023
201.65,-2.07,-1.02%,02 May 2023
203.72,1.49,0.74%,28 Apr 2023
202.23,2.92,1.47%,27 Apr 2023
199.31,0.51,0.26%,26 Apr 2023
198.8,-3.65,-1.80%,25 Apr 2023
202.45,0.26,0.13%,24 Apr 2023
202.19,0.86,0.43%,21 Apr 2023
201.33,-0.25,-0.12%,20 Apr 2023
201.58,-0.03,-0.01%,18 Apr 2023
201.61,0.46,0.23%,17 Apr 2023
201.15,0.57,0.28%,14 Apr 2023
200.58,2.44,1.23%,13 Apr 2023
198.14,-1.38,-0.69%,12 Apr 2023
199.52,0.83,0.42%,11 Apr 2023
198.69,0.90,0.46%,06 Apr 2023
197.79,-0.79,-0.40%,05 Apr 2023
198.58,-0.75,-0.38%,04 Apr 2023
199.33,-0.39,-0.20%,03 Apr 2023
199.72,3.69,1.88%,31 Mar 2023
196.03,1.01,0.52%,30 Mar 2023
195.02,2.28,1.18%,29 Mar 2023
192.74,-1.66,-0.85%,28 Mar 2023
194.4,-0.47,-0.24%,27 Mar 2023
194.87,1.71,0.89%,24 Mar 2023
193.16,1.31,0.68%,23 Mar 2023
191.85,-4.13,-2.11%,22 Mar 2023
195.98,2.51,1.30%,21 Mar 2023
193.47,0.11,0.06%,20 Mar 2023
193.36,-1.46,-0.75%,17 Mar 2023
194.82,3.82,2.00%,16 Mar 2023
191.0,0.70,0.37%,15 Mar 2023
190.3,3.33,1.78%,14 Mar 2023
186.97,0.73,0.39%,13 Mar 2023
186.24,-3.43,-1.81%,10 Mar 2023
189.67,-2.79,-1.45%,09 Mar 2023
192.46,0.82,0.43%,08 Mar 2023
191.64,-1.14,-0.59%,07 Mar 2023
192.78,0.26,0.14%,06 Mar 2023
192.52,2.35,1.24%,03 Mar 2023
190.17,2.89,1.54%,02 Mar 2023
187.28,-2.39,-1.26%,01 Mar 2023
189.67,0.20,0.11%,28 Feb 2023
189.47,0.30,0.16%,27 Feb 2023
189.17,-2.50,-1.30%,24 Feb 2023
191.67,1.90,1.00%,23 Feb 2023
189.77,-0.30,-0.16%,22 Feb 2023
190.07,-3.63,-1.87%,21 Feb 2023
193.7,-1.31,-0.67%,17 Feb 2023
195.01,-3.40,-1.71%,16 Feb 2023
198.41,2.48,1.27%,15 Feb 2023
195.93,0.92,0.47%,14 Feb 2023
195.01,2.46,1.28%,13 Feb 2023
192.55,-0.20,-0.10%,10 Feb 2023
192.75,-1.77,-0.91%,09 Feb 2023
194.52,-2.14,-1.09%,08 Feb 2023
196.66,2.60,1.34%,07 Feb 2023
194.06,-1.01,-0.52%,06 Feb 2023
195.07,-1.47,-0.75%,03 Feb 2023
196.54,4.16,2.16%,02 Feb 2023
192.38,2.32,1.22%,01 Feb 2023
190.06,2.91,1.55%,31 Jan 2023
187.15,-2.50,-1.32%,30 Jan 2023
189.65,0.65,0.34%,27 Jan 2023
189.0,2.11,1.13%,26 Jan 2023
186.89,-1.46,-0.78%,25 Jan 2023
188.35,-0.32,-0.17%,24 Jan 2023
188.67,2.74,1.47%,23 Jan 2023
185.93,4.07,2.24%,20 Jan 2023
181.86,-1.90,-1.03%,19 Jan 2023
183.76,-2.14,-1.15%,18 Jan 2023
185.9,0.72,0.39%,17 Jan 2023
185.18,0.44,0.24%,13 Jan 2023
184.74,-0.61,-0.33%,12 Jan 2023
185.35,2.70,1.48%,11 Jan 2023
182.65,1.94,1.07%,10 Jan 2023
180.71,0.33,0.18%,09 Jan 2023
180.38,2.24,1.26%,06 Jan 2023
178.14,-2.88,-1.59%,05 Jan 2023
181.02,0.22,0.12%,04 Jan 2023
180.8,0.50,0.28%,03 Jan 2023
180.3,-1.51,-0.83%,30 Dec 2022
181.81,2.98,1.67%,29 Dec 2022
178.83,-1.49,-0.83%,28 Dec 2022
180.32,-1.68,-0.92%,27 Dec 2022
182.0,0.17,0.09%,23 Dec 2022
181.83,-2.49,-1.35%,22 Dec 2022
184.32,2.43,1.34%,21 Dec 2022
181.89,-0.36,-0.20%,20 Dec 2022
182.25,-2.75,-1.49%,19 Dec 2022
185.0,-2.03,-1.09%,16 Dec 2022
187.03,-3.67,-1.92%,15 Dec 2022
190.7,-1.09,-0.57%,14 Dec 2022
191.79,0.85,0.45%,13 Dec 2022
190.94,3.15,1.68%,12 Dec 2022
187.79,-1.73,-0.91%,09 Dec 2022
189.52,1.90,1.01%,08 Dec 2022
187.62,-0.74,-0.39%,07 Dec 2022
188.36,-2.84,-1.49%,06 Dec 2022
191.2,-2.78,-1.43%,05 Dec 2022
193.98,-1.98,-1.01%,02 Dec 2022
195.96,-0.13,-0.07%,01 Dec 2022
196.09,5.40,2.83%,30 Nov 2022
190.69,-1.95,-1.01%,29 Nov 2022
192.64,-1.97,-1.01%,28 Nov 2022
194.61,-0.39,-0.20%,25 Nov 2022
195.0,1.42,0.73%,23 Nov 2022
193.58,2.11,1.10%,22 Nov 2022
191.47,-0.30,-0.16%,21 Nov 2022
191.77,0.68,0.36%,18 Nov 2022
191.09,-0.73,-0.38%,17 Nov 2022
191.82,-1.41,-0.73%,16 Nov 2022
193.23,2.21,1.16%,15 Nov 2022
191.02,-1.85,-0.96%,14 Nov 2022
192.87,0.82,0.43%,11 Nov 2022
192.05,9.56,5.24%,10 Nov 2022
182.49,-2.93,-1.58%,09 Nov 2022
185.42,0.98,0.53%,08 Nov 2022
184.44,2.34,1.29%,07 Nov 2022
182.1,0.37,0.20%,04 Nov 2022
181.73,-2.94,-1.59%,03 Nov 2022
184.67,-7.07,-3.69%,02 Nov 2022
191.74,-0.91,-0.47%,31 Oct 2022
192.65,3.71,1.96%,28 Oct 2022
188.94,-0.90,-0.47%,27 Oct 2022
189.84,-4.22,-2.17%,26 Oct 2022
194.06,2.94,1.54%,25 Oct 2022
191.12,3.60,1.92%,24 Oct 2022
187.52,2.77,1.50%,21 Oct 2022
184.75,-0.99,-0.53%,20 Oct 2022
