Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.0652,0.0001,0.01%,17 Mar 2023
1.0651,-0.0001,-0.01%,16 Mar 2023
1.0652,0.0000,0.00%,15 Mar 2023
1.0652,-0.0001,-0.01%,14 Mar 2023
1.0653,-0.0001,-0.01%,13 Mar 2023
1.0654,-0.0004,-0.04%,10 Mar 2023
1.0658,0.0003,0.03%,09 Mar 2023
1.0655,0.0001,0.01%,08 Mar 2023
1.0654,0.0000,0.00%,07 Mar 2023
1.0654,0.0002,0.02%,06 Mar 2023
1.0652,0.0002,0.02%,03 Mar 2023
1.065,0.0000,0.00%,02 Mar 2023
1.065,0.0000,0.00%,01 Mar 2023
1.065,0.0001,0.01%,28 Feb 2023
1.0649,0.0001,0.01%,27 Feb 2023
1.0648,-0.0001,-0.01%,24 Feb 2023
1.0649,0.0001,0.01%,23 Feb 2023
1.0648,0.0000,0.00%,22 Feb 2023
1.0648,0.0000,0.00%,21 Feb 2023
1.0648,0.0002,0.02%,20 Feb 2023
1.0646,-0.0001,-0.01%,17 Feb 2023
1.0647,0.0002,0.02%,16 Feb 2023
1.0645,-0.0001,-0.01%,15 Feb 2023
1.0646,-0.0002,-0.02%,14 Feb 2023
1.0648,0.0001,0.01%,13 Feb 2023
1.0647,0.0000,0.00%,10 Feb 2023
1.0647,0.0000,0.00%,09 Feb 2023
1.0647,0.0000,0.00%,08 Feb 2023
1.0647,-0.0002,-0.02%,07 Feb 2023
1.0649,0.0002,0.02%,06 Feb 2023
1.0647,0.0000,0.00%,03 Feb 2023
1.0647,-0.0001,-0.01%,02 Feb 2023
1.0648,0.0000,0.00%,01 Feb 2023
1.0648,0.0001,0.01%,31 Jan 2023
1.0647,0.0000,0.00%,30 Jan 2023
1.0647,0.0000,0.00%,27 Jan 2023
1.0647,0.0000,0.00%,26 Jan 2023
1.0647,0.0004,0.04%,25 Jan 2023
1.0643,0.0001,0.01%,20 Jan 2023
1.0642,0.0001,0.01%,19 Jan 2023
1.0641,0.0000,0.00%,18 Jan 2023
1.0641,0.0001,0.01%,17 Jan 2023
1.064,0.0002,0.02%,16 Jan 2023
1.0638,0.0000,0.00%,13 Jan 2023
1.0638,0.0000,0.00%,12 Jan 2023
1.0638,0.0000,0.00%,11 Jan 2023
1.0638,0.0001,0.01%,10 Jan 2023
1.0637,0.0002,0.02%,09 Jan 2023
1.0635,0.0000,0.00%,06 Jan 2023
1.0635,0.0001,0.01%,05 Jan 2023
1.0634,0.0001,0.01%,04 Jan 2023
1.0633,0.0000,0.00%,03 Jan 2023
1.0633,0.0001,0.01%,30 Dec 2022
1.0632,0.0001,0.01%,29 Dec 2022
1.0631,0.0000,0.00%,28 Dec 2022
1.0631,0.0002,0.02%,27 Dec 2022
1.0629,0.0000,0.00%,23 Dec 2022
1.0629,0.0002,0.02%,22 Dec 2022
