Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.126,0.003,0.27%,30 Mar 2023
1.123,0.003,0.27%,29 Mar 2023
1.12,-0.001,-0.09%,28 Mar 2023
1.121,-0.001,-0.09%,27 Mar 2023
1.122,-0.002,-0.18%,24 Mar 2023
1.124,0.003,0.27%,23 Mar 2023
1.121,0.000,0.00%,22 Mar 2023
1.121,0.002,0.18%,21 Mar 2023
1.119,0.000,0.00%,20 Mar 2023
1.119,0.000,0.00%,17 Mar 2023
1.119,0.003,0.27%,16 Mar 2023
1.116,-0.004,-0.36%,15 Mar 2023
1.12,0.001,0.09%,14 Mar 2023
1.119,0.001,0.09%,13 Mar 2023
1.118,-0.002,-0.18%,10 Mar 2023
1.12,-0.001,-0.09%,09 Mar 2023
1.121,-0.004,-0.36%,08 Mar 2023
1.125,-0.002,-0.18%,07 Mar 2023
1.127,0.003,0.27%,06 Mar 2023
1.124,0.005,0.45%,03 Mar 2023
1.119,-0.001,-0.09%,02 Mar 2023
1.12,0.001,0.09%,01 Mar 2023
1.119,0.001,0.09%,28 Feb 2023
1.118,0.000,0.00%,27 Feb 2023
1.118,-0.003,-0.27%,24 Feb 2023
1.121,0.001,0.09%,23 Feb 2023
1.12,-0.003,-0.27%,22 Feb 2023
1.123,-0.004,-0.35%,21 Feb 2023
1.127,0.001,0.09%,20 Feb 2023
1.126,-0.005,-0.44%,17 Feb 2023
1.131,0.001,0.09%,16 Feb 2023
1.13,-0.001,-0.09%,15 Feb 2023
1.131,-0.001,-0.09%,14 Feb 2023
1.132,0.001,0.09%,13 Feb 2023
1.131,-0.003,-0.26%,10 Feb 2023
1.134,0.001,0.09%,09 Feb 2023
1.133,0.001,0.09%,08 Feb 2023
1.132,0.000,0.00%,07 Feb 2023
1.132,-0.006,-0.53%,06 Feb 2023
1.138,0.001,0.09%,03 Feb 2023
1.137,0.005,0.44%,02 Feb 2023
1.132,0.003,0.27%,01 Feb 2023
1.129,-0.001,-0.09%,31 Jan 2023
1.13,-0.002,-0.18%,30 Jan 2023
1.132,0.000,0.00%,27 Jan 2023
1.132,0.002,0.18%,26 Jan 2023
1.13,0.003,0.27%,25 Jan 2023
1.127,0.002,0.18%,20 Jan 2023
1.125,0.000,0.00%,19 Jan 2023
1.125,-0.001,-0.09%,18 Jan 2023
1.126,0.000,0.00%,17 Jan 2023
1.126,0.001,0.09%,16 Jan 2023
1.125,0.001,0.09%,13 Jan 2023
1.124,0.002,0.18%,12 Jan 2023
1.122,0.004,0.36%,11 Jan 2023
1.118,-0.001,-0.09%,10 Jan 2023
1.119,0.005,0.45%,09 Jan 2023
1.114,0.005,0.45%,06 Jan 2023
1.109,0.001,0.09%,05 Jan 2023
1.108,0.007,0.64%,04 Jan 2023
1.101,0.002,0.18%,03 Jan 2023
1.099,-0.001,-0.09%,30 Dec 2022
1.1,0.002,0.18%,29 Dec 2022
1.098,-0.002,-0.18%,28 Dec 2022
1.1,0.000,0.00%,27 Dec 2022
1.1,-0.001,-0.09%,23 Dec 2022
1.101,-0.001,-0.09%,22 Dec 2022
1.102,0.003,0.27%,21 Dec 2022
1.099,-0.002,-0.18%,20 Dec 2022
1.101,-0.002,-0.18%,19 Dec 2022
1.103,-0.001,-0.09%,16 Dec 2022
1.104,-0.006,-0.54%,15 Dec 2022
1.11,0.003,0.27%,14 Dec 2022
1.107,0.003,0.27%,13 Dec 2022
1.104,-0.001,-0.09%,12 Dec 2022
1.105,0.003,0.27%,09 Dec 2022
1.102,0.002,0.18%,08 Dec 2022
1.1,-0.003,-0.27%,07 Dec 2022
1.103,-0.003,-0.27%,06 Dec 2022
1.106,0.003,0.27%,05 Dec 2022
1.103,0.001,0.09%,02 Dec 2022
1.102,0.006,0.55%,01 Dec 2022
1.096,0.002,0.18%,30 Nov 2022
1.094,0.002,0.18%,29 Nov 2022
1.092,-0.003,-0.27%,28 Nov 2022
1.095,0.003,0.27%,25 Nov 2022
1.092,0.004,0.37%,24 Nov 2022
1.088,0.004,0.37%,23 Nov 2022
1.084,0.002,0.18%,22 Nov 2022
1.082,-0.002,-0.18%,21 Nov 2022
1.084,0.002,0.18%,18 Nov 2022
1.082,-0.001,-0.09%,17 Nov 2022
1.083,-0.001,-0.09%,16 Nov 2022
1.084,0.006,0.56%,15 Nov 2022
1.078,0.006,0.56%,14 Nov 2022
1.072,0.010,0.94%,11 Nov 2022
1.062,0.005,0.47%,10 Nov 2022
1.057,-0.001,-0.09%,09 Nov 2022
1.058,0.002,0.19%,08 Nov 2022
1.056,0.004,0.38%,07 Nov 2022
1.052,0.003,0.29%,04 Nov 2022
