Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
63.04,-0.79,-1.24%,2023-02-24
63.83,0.85,1.35%,2023-02-23
62.98,-0.52,-0.82%,2023-02-22
63.5,-0.66,-1.03%,2023-02-21
64.16,-1.53,-2.33%,2023-02-17
65.69,-0.13,-0.20%,2023-02-16
65.82,0.71,1.09%,2023-02-15
65.11,0.92,1.43%,2023-02-14
64.19,0.34,0.53%,2023-02-13
63.85,-1.94,-2.95%,2023-02-10
65.79,-0.06,-0.09%,2023-02-09
65.85,1.65,2.57%,2023-02-08
64.2,-0.59,-0.91%,2023-02-07
64.79,-0.75,-1.14%,2023-02-06
65.54,0.18,0.28%,2023-02-03
65.36,3.25,5.23%,2023-02-02
62.11,1.29,2.12%,2023-02-01
