Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
11.86,0.11,0.94%,30 Oct 2018
11.75,-0.14,-1.18%,29 Oct 2018
11.89,-0.05,-0.42%,26 Oct 2018
11.94,0.12,1.02%,25 Oct 2018
11.82,-0.23,-1.91%,24 Oct 2018
12.05,-0.11,-0.90%,23 Oct 2018
12.16,0.08,0.66%,22 Oct 2018
12.08,0.05,0.42%,19 Oct 2018
12.03,-0.20,-1.64%,18 Oct 2018
12.23,-0.06,-0.49%,17 Oct 2018
12.29,0.14,1.15%,16 Oct 2018
12.15,-0.07,-0.57%,15 Oct 2018
12.22,0.25,2.09%,12 Oct 2018
11.97,-0.19,-1.56%,11 Oct 2018
12.16,-0.25,-2.01%,10 Oct 2018
12.41,-0.05,-0.40%,09 Oct 2018
12.46,0.01,0.08%,08 Oct 2018
12.45,-0.06,-0.48%,05 Oct 2018
12.51,-0.27,-2.11%,04 Oct 2018
12.78,-0.03,-0.23%,03 Oct 2018
12.81,-0.11,-0.85%,02 Oct 2018
12.92,0.01,0.08%,01 Oct 2018
12.91,-0.07,-0.54%,28 Sep 2018
12.98,0.09,0.70%,27 Sep 2018
12.89,0.03,0.23%,26 Sep 2018
12.86,0.04,0.31%,25 Sep 2018
12.82,-0.10,-0.77%,24 Sep 2018
12.92,0.11,0.86%,21 Sep 2018
12.81,0.07,0.55%,20 Sep 2018
12.74,0.11,0.87%,19 Sep 2018
12.63,0.07,0.56%,18 Sep 2018
12.56,-0.09,-0.71%,17 Sep 2018
12.65,0.06,0.48%,14 Sep 2018
12.59,0.14,1.12%,13 Sep 2018
12.45,0.00,0.00%,12 Sep 2018
12.45,-0.01,-0.08%,11 Sep 2018
12.46,-0.10,-0.80%,10 Sep 2018
12.56,0.01,0.08%,07 Sep 2018
12.55,0.03,0.24%,06 Sep 2018
12.52,-0.16,-1.26%,05 Sep 2018
12.68,-0.19,-1.48%,04 Sep 2018
12.87,-0.01,-0.08%,31 Aug 2018
12.88,-0.17,-1.30%,30 Aug 2018
13.05,0.04,0.31%,29 Aug 2018
13.01,-0.02,-0.15%,28 Aug 2018
13.03,0.15,1.16%,27 Aug 2018
12.88,0.03,0.23%,24 Aug 2018
12.85,-0.10,-0.77%,23 Aug 2018
12.95,0.07,0.54%,22 Aug 2018
12.88,0.07,0.55%,21 Aug 2018
12.81,0.09,0.71%,20 Aug 2018
12.72,0.03,0.24%,17 Aug 2018
12.69,-0.21,-1.63%,16 Aug 2018
12.9,0.06,0.47%,14 Aug 2018
12.84,-0.19,-1.46%,13 Aug 2018
13.03,-0.17,-1.29%,10 Aug 2018
13.2,-0.02,-0.15%,09 Aug 2018
13.22,0.00,0.00%,08 Aug 2018
13.22,0.05,0.38%,07 Aug 2018
13.17,-0.04,-0.30%,06 Aug 2018
13.21,0.01,0.08%,03 Aug 2018
13.2,-0.11,-0.83%,02 Aug 2018
13.31,-0.01,-0.08%,01 Aug 2018
13.32,-0.03,-0.22%,31 Jul 2018
13.35,-0.01,-0.07%,30 Jul 2018
13.36,-0.01,-0.07%,27 Jul 2018
13.37,-0.03,-0.22%,26 Jul 2018
13.4,0.15,1.13%,25 Jul 2018
